Lat,Lng,Town Ce,LA,Tranche
53.0145821,-1.3574966,Heanor,Amber Valley,1
52.5285663,-1.8392253,Erdington,Birmingham,1
53.5485989,-2.3969984,Farnworth,Bolton,1
53.7229229,-1.8604874,Halifax,Calderdale,1
53.0996153,-2.4414627,Crewe,Cheshire East,1
53.1920711,-2.5313108,Winsford,Cheshire West and Chester,1
53.05076015,-2.636893143,Chorley,Chorley,1
54.5474199,-3.5885335,Whitehaven,Copeland,1
50.1213173,-5.5329266,Penzance,Cornwall,1
54.525034,-1.557338,Darlington,Darlington,1
51.4474704,0.2192317,Dartford,Dartford,1
54.6375215,-1.7186437,Bishop's Auckland,Durham,1
52.5525244,0.068137366,March High Street,Fenland,1
52.6119213,1.7206879,Great Yarmouth,Great Yarmouth,1
51.5887894,-0.0691493,Tottenham High Road,Haringey,1
53.2607853,-1.9131016,Buxton,High Peak,1
52.754891,0.3964614,King's Lynn,King's Lynn and West Norfolk,1
53.6466645,-1.7822482,Huddersfield,Kirklees,1
54.0681534,-2.8747898,Morecambe,Lancaster,1
50.7924772,0.052139552,Newhaven,Lewes,1
53.144529,-1.196633,Mansfield,Mansfield,1
51.3804845,0.5292758,Chatham,Medway,1
52.7257981,-1.3741375,Coalville,North West Leicestershire,1
52.23711015,-0.90633582,Northampton,Northampton,1
53.541256,-2.113547,Oldham,Oldham,1
53.8347164,-2.2142644,Nelson,Pendle,1
50.74018055,-1.953773835,Poole,"Bournemouth, Christchurch and Poole",1
53.4316986,-1.3610462,Rotherham,Rotherham,1
53.382899,-1.466791,Sheffield High Street,Sheffield,1
50.9420451,-2.6318629,Yeovil,South Somerset,1
54.9987414,-1.4321848,South Shields,South Tyneside,1
51.4874989,-0.0755241,Old Kent Road,Southwark,1
52.806615,-2.118968,Stafford,Stafford,1
53.4054501,-2.1630435,Stockport,Stockport,1
54.564094,-1.3129164,Stockton,Stockton-on-Tees,1
54.9064567,-1.3824309,Sunderland City Centre,Sunderland,1
51.360398,-0.1906996,Sutton,Sutton,1
51.5613683,-1.7856853,Swindon,Swindon,1
51.0150004,-3.1029395,Taunton,Somerset West and Taunton,1
53.445428,-2.3223051,Stretford,Trafford,1
53.682624,-1.499606,Wakefield City Centre,Wakefield,1
52.5843965,-1.985107,Walsall,Walsall,1
53.544624,-2.632315,Wigan,Wigan,1
53.3943192,-3.0140483,Birkenhead; New Ferry,Wirral,1
53.9246318,-3.0076372,Fleetwood,Wyre,1
52.3810237,-2.248580103,Kidderminster,Wyre Forest,1
53.84035505,-2.40529275,Barrow Town Centre,Barrow,2
50.3712659,-4.1425658,Plymouth City Centre,Plymouth,2
51.4627405,-2.5083916,Kingswood,South Gloucestershire,2
52.2913394,-1.536404,Leamington Town Centre,Warwick,2
53.5918186,-0.6498697,Scunthorpe,North Lincolnshire,2
53.8182212,-3.0564845,Blackpool Town Centre,Blackpool,2
53.7827278,-2.8714885,Kirkham Town Centre,Fylde,2
53.3357763,-2.7318635,Runcorn Old Town,Halton,2
51.0181448,-4.2064223,Bideford,Torridge,2
51.0804057,-4.0600467,Barnstaple,North Devon,2
52.0554725,1.319761905,Sutton,Ashfield,2
50.5301281,-3.5990884,Newton Abbot,Teignbridge,2
51.75272805,-1.892541849,Barnsley Town Centre,Barnsley,2
50.7964461,-1.0732559,Fratton,Portsmouth,2
51.332854,1.4222861,Ramsgate,Thanet,2
53.6858377,-1.8377141,Elland Town Centre,Calderdale,2
53.56349275,-0.086996964,Grimsby Town Centre,North East Lincolnshire,2
53.617345,-2.1554432,Rochdale Town Centre,Rochdale,2
51.0736612,-1.7951176,Salisbury City Centre,Wiltshire,2
53.5205544,-1.132068716,Doncaster Waterdale,Doncaster,2
54.332992,-1.4416714,Northallerton,Hambleton,2
52.9133829,-0.6426582,Grantham,South Kesteven,2
54.5537038,-0.8852807,Loftus,Redcar and Cleveland,2
52.5246182,-1.4684488,Nuneaton Town Centre,Nuneaton and Bedworth,2
52.633873,-1.692229,Tamworth Town Centre,Tamworth,2
53.578162,-2.429304,Bolton Town Centre,Bolton,2
50.4377018,-3.5632704,Paignton,Torbay,2
54.282216,-0.400945,Scarborough Town Centre,Scarborough,2
54.893673,-2.935141,Carlisle City Centre,Carlisle,2
52.2275439,-0.2707598,St Neots,Huntingdonshire,2
55.1241236,-1.5018084,Blyth Town Centre,Northumberland,2
51.9082704,1.1433481,Clacton Town Centre,Tendring,2
51.3191947,-2.2040788,Trowbridge,Wiltshire,2
53.7024932,-2.201046,Bacup Town Centre,Rossendale,2
51.5936353,-0.3294758,Wealdstone,Harrow,2
50.8048777,-1.0868837,Commercial Road,Portsmouth,2
51.4776789,0.321817754,Grays Town Centre,Thurrock,2
52.80421,0.0180043,Holbeach,South Holland,2
51.781287,0.0950305,Harlow Town Centre,Harlow,2
51.4625524,-0.2167462,Putney Town Centre,Wandsworth,2
51.627422,-0.7484153,High Wycombe,Wycombe,2
51.8257656,-2.525020033,Cinderford Town Centre,Forest of Dean,2
54.7129699,-3.4998108,Maryport Town Centre,Allerdale,2
54.5760419,-1.2344047,Middlesbrough Centre,Middlesbrough,2
52.920593,-1.475952,"Derby City Centre, St Peters Cross",Derby,1
53.743028,-0.335489,"Hull City Centre, Whitefriargate",Kingston Upon Hull,1
52.95474,-1.153254,"Nottingham City Centre, West End Point",Nottingham,1
52.584866,-2.130498,Wolverhampton City Centre (West),Wolverhampton,1
52.482087,-2.121233,Brierley Hill High Town Centre,Wolverhampton,2
51.124867,1.315658,Dover Town Centre and Waterfront,Dover,2
50.904268,-1.404179,Heart of the City Quarter (Southampton),Southampton,2
53.011461,-2.227543,Newcastle-under-Lyme Town Centre,Newcastle-under-Lyme,2
52.192624,-2.221173,Blackfriars - Northern City Centre (Worcester),Worcester,2
51.49098735,0.068792514,Woolwich Town Centre,Greenwich,2
